Category,Port,Line Item,Period,Value
Marine,ASTRO,ROCE,2024-25,15%
Marine,ASTRO,ROCE,2023-24,0%
Marine,ASTRO,ROCE,2022-23,0%
Marine,ASTRO,ROCE,2021-22,0%
Marine,TAHID,ROCE,2024-25,-4%
Marine,TAHID,ROCE,2023-24,-12%
Marine,TAHID,ROCE,2022-23,0%
Marine,TAHID,ROCE,2021-22,0%
Marine,Marine,ROCE,2024-25,13%
Marine,Marine,ROCE,2023-24,12%
Marine,Marine,ROCE,2022-23,14%
Marine,Marine,ROCE,2021-22,0%
